Database???Annual
Year£ºLATEST20
Indicators,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Total Value of Imports and Exports Asia(USD 10000),,316743198,306055687,238775903,236725767,238058298,212652448,194691029,209440911,227347807,222400783,204510522,190312272,156691107,117217138,136670464,118780058,98109410,80788703,66490647
Total Value of Imports and Exports Afghanistan(USD 10000),,59229,52398,55519,62908,69167,54463,43583,37359,41093,33785,46924,23441,17895,21489,15432,17181,10067,5272,5792
Total Value of Imports and Exports Bahrain(USD 10000),,200345,178052,126657,167948,128565,102647,85452,112339,141575,154411,155081,120585,105142,68650,78639,48715,34873,25594,21297
Total Value of Imports and Exports Bangladesh(USD 10000),,2759819,2514134,1587545,1835982,1873748,1604417,1517163,1471155,1254338,1030745,844984,825921,705770,458166,468798,345906,318924,248134,196328
Total Value of Imports and Exports Bhutan(USD 10000),,16858,10877,1359,1096,1284,642,498,847,1122,1741,1562,1746,160,417,846,539,16,47,52
Total Value of Imports and Exports Brunei(USD 10000),,306399,286454,194222,110274,183946,98940,73257,150857,193653,179358,162554,131121,103194,42244,21943,35876,31494,26087,29895
Total Value of Imports and Exports Myanmar(USD 10000),,2478239,1864603,1889432,1869905,1523211,1347481,1228639,1510021,2496893,1019556,697194,650140,444207,290012,262532,207784,146007,120925,114538
Total Value of Imports and Exports Cambodia(USD 10000),,1577619,1366552,955198,942585,738418,579078,476067,442999,375765,377314,292343,249911,144097,94415,113437,93399,73286,56334,48171
Total Value of Imports and Exports Cyprus(USD 10000),,119698,89525,91828,63609,79211,57765,51014,63958,110015,102453,123783,114967,136500,121917,113546,70585,35369,29012,18692
Total Value of Imports and Exports Korea DPR(USD 10000),,97288,31612,53892,278903,243021,497609,565300,551060,638758,655757,603616,564149,347182,267946,279284,197633,170009,158024,138516
Total Value of Imports and Exports Hong Kong China(USD 10000),28820000,30166122,35610000,27955819,28821965,31052397,28652856,30395369,34320860,37569852,40070147,34131100,28347550,23056247,17493107,20364488,19724045,16608883,13669803,11266529
Total Value of Imports and Exports India(USD 10000),13620000,13468574,12450000,8769702,9281118,9550900,8438762,7017947,7159658,7057611,6540266,6647333,7390824,6176120,4338332,5184427,3862856,2485875,1870050,1361404
Total Value of Imports and Exports Indonesia(USD 10000),,14853185,12457032,7846308,7976261,7734118,6333169,5354016,5422816,6354485,6835475,6623408,6055462,4275028,2838876,3151605,2499641,1905546,1678733,1347209
Total Value of Imports and Exports Iran(USD 10000),,1568025,1478075,1493339,2303562,3504201,3713851,3124585,3382755,5184234,3942651,3646584,4510340,2939108,2121909,2775762,2058965,1444741,1008327,704546
Total Value of Imports and Exports Iraq(USD 10000),,5308178,3734298,3022675,3338866,3039860,2214453,1821145,2058386,2850508,2487885,1756759,1426829,986496,514795,265283,145318,114443,82379,46980
Total Value of Imports and Exports Israel(USD 10000),,2535321,2282854,1753921,1476915,1391557,1312470,1135396,1141798,1087974,1082662,991045,977850,764444,517807,604982,530994,387572,302788,248485
Total Value of Imports and Exports Japan(USD 10000),31800000,35674000,36960000,31728000,31501321,32770921,30305294,27508069,27851902,31231185,31237785,32945578,34283401,29777959,22878256,26673250,23595096,20729525,18439396,16783577
Total Value of Imports and Exports Jordan(USD 10000),,639629,441480,360724,411198,318367,308279,316599,371192,362774,360443,325574,276945,205361,207065,194931,118136,103098,91068,71076
Total Value of Imports and Exports Kuwait(USD 10000),,3141028,2212401,1428293,1728379,1865651,1204772,937207,1126974,1343369,1226215,1255699,1130362,855695,504354,679012,362926,278531,164897,124811
Total Value of Imports and Exports Laos(USD 10000),,561798,434247,357957,391945,347215,302435,234671,277310,361736,273266,172078,130088,108512,75180,40237,26386,21836,12893,11354
Total Value of Imports and Exports Lebanon(USD 10000),,252567,155662,97742,170561,201827,203365,211839,230285,263025,253641,171227,148431,134673,106584,109672,71734,50804,47623,49356
Total Value of Imports and Exports Macao China(USD 10000),,426058,329230,229166,311195,315327,327295,328151,477594,380527,355791,298739,251754,226435,209630,290796,292137,244243,186961,183348
Total Value of Imports and Exports Malaysia(USD 10000),,20155781,17695996,13147574,12405176,10858103,9613842,8694141,9725772,10200563,10608338,9483205,9002270,7424884,5196769,5355657,4638632,3710951,3069956,2626080
Total Value of Imports and Exports Maldives(USD 10000),,44074,41125,28147,38170,39721,29625,32118,17283,10437,9783,7667,9726,6352,4079,3297,2507,1600,1696,809
Total Value of Imports and Exports Mongolia(USD 10000),,1219839,913202,674264,816095,798900,640293,461124,536608,731847,595914,660121,643271,400183,242900,243343,203460,158098,85992,69442
Total Value of Imports and Exports Nepal(USD 10000),,166037,197643,118374,151602,109937,98481,88868,86471,233065,225414,199768,119509,74267,41416,38159,40037,26808,19644,17148
Total Value of Imports and Exports Oman(USD 10000),,4038178,3215685,1873593,2267110,2176312,1569973,1418911,1716381,2586124,2294146,1878702,1587466,1072372,615873,1242136,727029,646902,432990,438951
Total Value of Imports and Exports Pakistan(USD 10000),,2626680,2782488,1748254,1797305,1910540,2008401,1914706,1891665,1599835,1421644,1241365,1055833,866862,678834,705787,689327,524658,426083,306054
Total Value of Imports and Exports Palestine(USD 10000),,15587,12835,10046,8228,7381,6918,5962,6969,7559,9086,4101,4886,2637,2432,4103,3765,2807,2383,992
Total Value of Imports and Exports Philippines(USD 10000),,8648924,8204665,6121718,6096325,5564824,5130511,4723856,4563645,4445771,3804994,3637546,3224704,2776223,2053900,2863698,3061576,2341270,1755732,1332816
Total Value of Imports and Exports Qatar(USD 10000),,2651988,1717168,1093626,1112279,1162880,808260,552874,689001,1059074,1017426,848320,589307,331128,225387,238579,120888,99879,67639,43778
Total Value of Imports and Exports Saudi Arabia(USD 10000),,11577680,8728985,6716515,7807244,6328242,5013688,4228130,5163398,6908327,7219053,7331422,6431724,4319549,3254839,4184617,2536697,2014037,1607014,1029810
Total Value of Imports and Exports Singapore(USD 10000),,11306419,9392319,8924419,9003631,8276440,7926892,7052592,7952320,7973991,7589638,6927265,6371006,5707598,4785587,5247707,4714398,4085791,3314686,2668207
Total Value of Imports and Exports Korea Rep.(USD 10000),31070000,35999110,35910000,28558074,28453344,31339955,28025693,25270349,27579247,29044222,27423771,25641529,24562635,20711512,15621479,18606991,15985081,13424635,11192818,9004566
Total Value of Imports and Exports Sri Lanka(USD 10000),,419137,590488,416049,448761,457679,439803,456177,456256,404107,361911,316305,314161,209712,163931,169063,143211,114125,97627,71745
Total Value of Imports and Exports Syria(USD 10000),,42236,48363,83485,131522,127364,110415,91861,102616,98650,69486,120036,244640,248326,222059,230322,187674,140621,90637,72067
Total Value of Imports and Exports Thailand(USD 10000),,13377063,13118721,9865398,9174649,8750835,8013781,7572743,7545955,7262116,7124055,6975086,6473385,5293702,3819082,4129309,3463812,2772649,2181119,1734208
