,,,1. INBOUND TOURISM: Arrivals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World Tourism Organization (2023), UNWTO Tourism Statistics Database, Madrid, data updated on 24/11/2023. More information:
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.unwto.org/tourism-statistics/tourism-statistics-database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,4-0,AFGHANISTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.1,4-1.1,,,Total arrivals,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.2,4-1.2,,,,Overnights visitors (tourists),,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.3,4-1.3,,,,Same-day visitors (excursionists),,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.4,4-1.4,,,,,"of which, cruise passengers",Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,8-0,ALBANIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Excluding nationals residing abroad.
2/ Including in transit visitors.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.1,8-1.1,,,Total arrivals,,,Thousands,1/ 2/,VF,304,287,119,184,371,317,354,470,557,645,748,937,"1,127","1,420","1,856","2,417","2,932","3,514","3,256","3,673","4,131","4,736","5,118","5,927","6,406","2,658","5,689","7,544",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.2,8-1.2,,,,Overnights visitors (tourists),,Thousands,1/,TF,..,..,..,..,..,..,..,..,..,..,..,..,"1,062","1,247","1,711","2,191","2,469","3,156","2,857","3,341","3,784","4,070","4,643","5,340","6,128","2,604","5,515","7,105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.3,8-1.3,,,,Same-day visitors (excursionists),,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,65,83,64,52,67,71,220,127,162,507,293,587,278,54,174,439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.4,8-1.4,,,,,"of which, cruise passengers",Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,12-0,ALGERIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Including nationals residing abroad.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1.1,12-1.1,,,Total arrivals,,,Thousands,1/,VF,520,605,635,678,749,866,901,988,"1,166","1,234","1,443","1,638","1,743","1,772","1,912","2,070","2,395","2,634","2,733","2,301","1,710","2,039","2,451","2,657","2,371",591,125,"1,398",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1.2,12-1.2,,,,Overnights visitors (tourists),,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1.3,12-1.3,,,,Same-day visitors (excursionists),,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1.4,12-1.4,,,,,"of which, cruise passengers",Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,16-0,AMERICAN SAMOA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1.1,16-1.1,,,Total arrivals,,,Thousands,,VF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40.3,41.3,50.2,49.3,51.6,47.1,38.3,42.3,51.8,58.6,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1.2,16-1.2,,,,Overnights visitors (tourists),,Thousands,,TF,34,35,26,36,41,44,36,..,..,..,24.5,25.3,24.1,24.3,23.5,23.1,22.6,22.6,20.8,21.6,20.3,20.1,20.0,20.2,19.2,0.9,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1.3,16-1.3,,,,Same-day visitors (excursionists),,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.2,18.7,27.6,28.5,30.0,26.8,18.2,22.3,31.6,39.4,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1.4,16-1.4,,,,,"of which, cruise passengers",Thousands,,,..,..,..,..,..,4.0,4.9,2.8,8.2,3.5,6.1,..,..,..,..,17.2,18.7,27.6,28.5,30.0,26.8,18.2,22.3,31.6,39.4,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,20-0,ANDORRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals,,,,,1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Since May 2009 a new methodology has been applied and therefore, the information is not comparable to previous years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
